tree_id,split
1cd1a55b-6808-4d87-ae80-8c66882b0755,train
d7788384-abe3-4847-b8d5-ac18051a4d65,train
e0c31c2b-e78a-486b-bf45-102570947543,train
16091600-44fb-43c5-8648-af88be883e1c,test
e2af4519-2ce5-4381-877d-e30f6cefb552,val
f207d2d6-99f4-471f-ac09-44be54855faf,train
71bb9e5e-aa2c-46e4-9535-2e2baa1dede0,val
fd5ea042-ffce-42b8-93ec-8e82f6102123,train
c63ca6e1-ba54-4277-afc5-6f8c8ccc6294,train
d3b61792-422e-4203-ae4c-8e6e21eb98a5,train
87a1deb7-14aa-45f7-892e-f600c0bd7b1f,train
a315a2b0-d9cc-4a0c-8c30-c2372f638729,train
93209f5b-9e81-42fd-bcb9-9d4ab7c148be,train
8c067009-7afa-4664-a7f0-801205ae662d,train
6ffd9fb0-de9c-4e9a-a750-544fd032ec83,test
85160802-75a4-4b60-8c7d-88e10f01f370,train
46fca487-6bf6-4d9b-8ef5-2c27d078b34e,train
a8738668-639b-4ab2-a844-66f965655341,train
863fb36b-6f6d-4ece-a053-2bfc407383f4,val
7dee70ff-6dca-4fbd-b494-8c58d9d028cd,train
010c544a-f8e4-437f-92a8-ef0269bbc4de,train
d234e681-f73d-4cbf-a4ef-d1adafd941d1,train
b198280f-1943-4953-84b5-032dc83c6d0c,train
81b40127-d66f-4bfc-b74d-86c78d8f2b49,train
79814d0b-3240-4bc0-8838-18603fae34a5,train
15f61bdf-6043-4945-b003-7b3530527ead,train
650e6c81-a8aa-446e-9bff-e5c7544a656d,train
9f901ffa-4646-4c8c-abfd-d12315863f76,train
31fd7971-874d-4a93-a130-4b6407d31514,train
ed57f825-197f-4cb5-8fad-2512e1af24cc,val
52a63433-584e-4549-9ff9-20fda066cce8,test
23217228-a118-47c7-9079-71b3baa0f215,train
db368783-f6fd-42e0-8fe8-950a3de00dc4,train
90789c8b-d052-4fcf-a330-e3517ad5b5cd,train
c4c2a760-7a66-4ae4-a614-5a4aaff6f3a4,train
94723da9-e945-4414-a56a-27f90d67bf20,train
6066881b-b91f-49ee-a275-7b15e94939a5,train
2db9516b-233e-44b4-94bd-0dae7c344999,train
55fb37de-245e-4d22-bd22-db718e75f059,train
149699e2-bf2e-4160-ab3b-53d9d6d5d6f5,train
0e8f8a04-a402-4e00-accb-3beeb7df406d,val
95764ee0-2207-48f0-937d-2ba9617baa4a,train
d2b0cc94-494b-4bc9-83e1-bd942beba7e8,test
68f81134-cf12-411c-9e7b-50df9d1eccfe,val
58e0d0ee-9532-4f3f-8a58-3b3144b88f7d,train
27e9b148-e233-4cb2-88d8-a79b435f0ea3,train
0d54d994-4c4d-48a8-bc3b-e72133a4ba23,train
2d909113-2934-4dff-8d11-2c9740a51aa2,train
28856736-845a-4417-908e-f17cf74001a1,train
